,Equation Number,eqn,soln,metrics
10,194,"1 = ((-2x + 3) + 4x)
","1 = ((-2x + 3) + 4x)
|1 = (4x + (-2x + 3))|(1 - 3) = ((4x + (-2x + 3)) - 3)|(1 - 3) = (((4x + -2x) + 3) - 3)|(((4x + -2x) + 3) - 3) = (1 - 3)|((((4 + (-2)) * x) + 3) - 3) = (1 - 3)|((2x + 3) - 3) = (1 - 3)|(2x + (3 - 3)) = (1 - 3)|(2x + 0) = (1 - 3)|2x = (1 - 3)|(x * 2) = (1 - 3)|(x * 2) = (-2)|((x * 2) / 2) = ((-2) / 2)|(x * (2 / 2)) = ((-2) / 2)|(x * 1) = ((-2) / 2)|x = ((-2) / 2)|x = (-1)",35
11,250,"-1x = ((-2) + 3x)
","-1x = ((-2) + 3x)
|(-1x - 3x) = (((-2) + 3x) - 3x)|(((-1) - 3) * x) = (((-2) + 3x) - 3x)|-4x = (((-2) + 3x) - 3x)|-4x = ((-2) + (3x - 3x))|-4x = ((-2) + 0)|(-4x / (-4)) = (((-2) + 0) / (-4))|((x * (-4)) / (-4)) = (((-2) + 0) / (-4))|(x * ((-4) / (-4))) = (((-2) + 0) / (-4))|(x * 1) = (((-2) + 0) / (-4))|x = (((-2) + 0) / (-4))|x = ((-2) / (-4))|x = [1/2]",24
12,250,"-1x = ((-2) + 3x)
","-1x = ((-2) + 3x)
|(-1x - 3x) = (((-2) + 3x) - 3x)|(((-1) - 3) * x) = (((-2) + 3x) - 3x)|-4x = (((-2) + 3x) - 3x)|-4x = ((-2) + (3x - 3x))|-4x = ((-2) + 0)|(-4x / (-4)) = (((-2) + 0) / (-4))|((x * (-4)) / (-4)) = (((-2) + 0) / (-4))|(x * ((-4) / (-4))) = (((-2) + 0) / (-4))|(x * 1) = (((-2) + 0) / (-4))|x = (((-2) + 0) / (-4))|x = ((-2) / (-4))|x = [1/2]",24
13,250,"-1x = ((-2) + 3x)
","-1x = ((-2) + 3x)
|(-1x - 3x) = (((-2) + 3x) - 3x)|(((-1) - 3) * x) = (((-2) + 3x) - 3x)|-4x = (((-2) + 3x) - 3x)|-4x = ((-2) + (3x - 3x))|-4x = ((-2) + 0)|(-4x / (-4)) = (((-2) + 0) / (-4))|((x * (-4)) / (-4)) = (((-2) + 0) / (-4))|(x * ((-4) / (-4))) = (((-2) + 0) / (-4))|(x * 1) = (((-2) + 0) / (-4))|x = (((-2) + 0) / (-4))|x = ((-2) / (-4))|x = [1/2]",24
14,173,"1 = 2x
","1 = 2x
|2x = 1|(x * 2) = 1|((x * 2) / 2) = (1 / 2)|(x * (2 / 2)) = (1 / 2)|(x * 1) = (1 / 2)|x = (1 / 2)|x = [1/2]",12
15,20,"(1x + (-2)) = (3 + -4x)
","(1x + (-2)) = (3 + -4x)
|((1x + (-2)) - (-2)) = ((3 + -4x) - (-2))|(((1x + (-2)) - (-2)) - -4x) = (((3 + -4x) - (-2)) - -4x)|(((1x + (-2)) - (-2)) - -4x) = (((3 + -4x) - -4x) - (-2))|((1x + ((-2) - (-2))) - -4x) = (((3 + -4x) - -4x) - (-2))|((1x + 0) - -4x) = (((3 + -4x) - -4x) - (-2))|((1x + 0) - -4x) = ((3 + (-4x - -4x)) - (-2))|((1x + 0) - -4x) = ((3 + 0) - (-2))|((1x + 0) - -4x) = (3 - (-2))|(1x - -4x) = (3 - (-2))|((1 - (-4)) * x) = (3 - (-2))|5x = (3 - (-2))|(5x / 5) = ((3 - (-2)) / 5)|((x * 5) / 5) = ((3 - (-2)) / 5)|(x * (5 / 5)) = ((3 - (-2)) / 5)|(x * 1) = ((3 - (-2)) / 5)|x = ((3 - (-2)) / 5)|x = (5 / 5)|x = 1",35
16,20,"(1x + (-2)) = (3 + -4x)
","(1x + (-2)) = (3 + -4x)
|((1x + (-2)) - (-2)) = ((3 + -4x) - (-2))|(((1x + (-2)) - (-2)) - -4x) = (((3 + -4x) - (-2)) - -4x)|(((1x + (-2)) - (-2)) - -4x) = (((3 + -4x) - -4x) - (-2))|((1x + ((-2) - (-2))) - -4x) = (((3 + -4x) - -4x) - (-2))|((1x + 0) - -4x) = (((3 + -4x) - -4x) - (-2))|((1x + 0) - -4x) = ((3 + (-4x - -4x)) - (-2))|((1x + 0) - -4x) = ((3 + 0) - (-2))|((1x + 0) - -4x) = (3 - (-2))|(1x - -4x) = (3 - (-2))|((1 - (-4)) * x) = (3 - (-2))|5x = (3 - (-2))|(5x / 5) = ((3 - (-2)) / 5)|((x * 5) / 5) = ((3 - (-2)) / 5)|(x * (5 / 5)) = ((3 - (-2)) / 5)|(x * 1) = ((3 - (-2)) / 5)|x = ((3 - (-2)) / 5)|x = (5 / 5)|x = 1",35
17,242,"1x = (-2x + 3)
","1x = (-2x + 3)
|1x = (3 + -2x)|(1x - -2x) = ((3 + -2x) - -2x)|((1 - (-2)) * x) = ((3 + -2x) - -2x)|3x = ((3 + -2x) - -2x)|3x = (3 + (-2x - -2x))|(x * 3) = (3 + (-2x - -2x))|(x * 3) = (3 + 0)|(x * 3) = 3|((x * 3) / 3) = (3 / 3)|(x * (3 / 3)) = (3 / 3)|(x * 1) = (3 / 3)|x = (3 / 3)|x = 1",26
18,120,"1 = (2 + 3x)
","1 = (2 + 3x)
|(1 - 2) = ((2 + 3x) - 2)|(1 - 2) = ((3x + 2) - 2)|((3x + 2) - 2) = (1 - 2)|(3x + (2 - 2)) = (1 - 2)|(3x + 0) = (1 - 2)|3x = (1 - 2)|(x * 3) = (1 - 2)|(x * 3) = (-1)|((x * 3) / 3) = ((-1) / 3)|(x * (3 / 3)) = ((-1) / 3)|(x * 1) = ((-1) / 3)|x = ((-1) / 3)|x = ([-1/3])",23
19,260,"1 = ((2 / x) + 3)
","1 = ((2 / x) + 3)
|(1 - 3) = (((2 / x) + 3) - 3)|(-2) = (((2 / x) + 3) - 3)|((-2) / (-2)) = ((((2 / x) + 3) - 3) / (-2))|(((-2) / (-2)) * x) = (((((2 / x) + 3) - 3) / (-2)) * x)|1x = (((((2 / x) + 3) - 3) / (-2)) * x)|x = (((((2 / x) + 3) - 3) / (-2)) * x)|x = ((((2 / x) + (3 - 3)) / (-2)) * x)|x = ((((2 / x) + 0) / (-2)) * x)|x = (x * (((2 / x) + 0) / (-2)))|x = (x * ((2 / x) / (-2)))|x = ((x * (2 / x)) / (-2))|x = (((x * 2) / x) / (-2))|x = ((2x / x) / (-2))|x = ((2 * (x / x)) / (-2))|x = ((2 * 1) / (-2))|x = (2 / (-2))|x = (-1)",39
20,123,"(-1) = ((-2) + 3x)
","(-1) = ((-2) + 3x)
|((-1) - (-2)) = (((-2) + 3x) - (-2))|((-1) - (-2)) = ((3x + (-2)) - (-2))|((-1) - (-2)) = (3x + ((-2) - (-2)))|((-1) - (-2)) = ((x * 3) + ((-2) - (-2)))|(((-1) - (-2)) / 3) = (((x * 3) + ((-2) - (-2))) / 3)|(((-1) - (-2)) / 3) = (((x * 3) + 0) / 3)|(((x * 3) + 0) / 3) = (((-1) - (-2)) / 3)|((x * 3) / 3) = (((-1) - (-2)) / 3)|(x * (3 / 3)) = (((-1) - (-2)) / 3)|(x * 1) = (((-1) - (-2)) / 3)|x = (((-1) - (-2)) / 3)|x = (1 / 3)|x = [1/3]",23
21,268,"(((1 / x) * x) + 2x) = 3x
","(((1 / x) * x) + 2x) = 3x
|3x = (((1 / x) * x) + 2x)|(3x - 2x) = ((((1 / x) * x) + 2x) - 2x)|(3x - 2x) = (((x * (1 / x)) + 2x) - 2x)|(3x - 2x) = ((x * (1 / x)) + (2x - 2x))|(3x - 2x) = ((x * (1 / x)) + 0)|((x * (1 / x)) + 0) = (3x - 2x)|(((x * 1) / x) + 0) = (3x - 2x)|(((x * 1) / x) + 0) = ((3 - 2) * x)|(((x * 1) / x) + 0) = 1x|((x * 1) / x) = 1x|(x / x) = 1x|1 = 1x|1x = 1|x = 1",34
22,111,"-1x = (2 + 3)
","-1x = (2 + 3)
|(x * (-1)) = (2 + 3)|(x * (-1)) = 5|((x * (-1)) / (-1)) = (5 / (-1))|(x * ((-1) / (-1))) = (5 / (-1))|(x * 1) = (5 / (-1))|x = (5 / (-1))|x = (-5)",14
23,111,"-1x = (2 + 3)
","-1x = (2 + 3)
|(x * (-1)) = (2 + 3)|(x * (-1)) = 5|((x * (-1)) / (-1)) = (5 / (-1))|(x * ((-1) / (-1))) = (5 / (-1))|(x * 1) = (5 / (-1))|x = (5 / (-1))|x = (-5)",14
24,147,"((-1) - 2x) = -3x
","((-1) - 2x) = -3x
|((-1) + -2x) = -3x|-3x = ((-1) + -2x)|(-3x - -2x) = (((-1) + -2x) - -2x)|(((-3) - (-2)) * x) = (((-1) + -2x) - -2x)|(((-3) - (-2)) * x) = ((-1) + (-2x - -2x))|(((-3) - (-2)) * x) = ((-1) + 0)|(((-3) - (-2)) * x) = (-1)|-1x = (-1)|(x * (-1)) = (-1)|((x * (-1)) / (-1)) = ((-1) / (-1))|(x * ((-1) / (-1))) = ((-1) / (-1))|(x * 1) = ((-1) / (-1))|x = ((-1) / (-1))|x = 1",28
25,119,"(-1x + 2) = 3x
","(-1x + 2) = 3x
|((-1x + 2) - -1x) = (3x - -1x)|((-1x + 2) - -1x) = ((3 - (-1)) * x)|((2 + -1x) - -1x) = ((3 - (-1)) * x)|(2 + (-1x - -1x)) = ((3 - (-1)) * x)|((3 - (-1)) * x) = (2 + (-1x - -1x))|4x = (2 + (-1x - -1x))|(x * 4) = (2 + (-1x - -1x))|((x * 4) / 4) = ((2 + (-1x - -1x)) / 4)|((x * 4) / 4) = ((2 + 0) / 4)|(x * (4 / 4)) = ((2 + 0) / 4)|(x * 1) = ((2 + 0) / 4)|x = ((2 + 0) / 4)|x = (2 / 4)|x = [1/2]",27
26,119,"(-1x + 2) = 3x
","(-1x + 2) = 3x
|((-1x + 2) - -1x) = (3x - -1x)|((-1x + 2) - -1x) = ((3 - (-1)) * x)|((2 + -1x) - -1x) = ((3 - (-1)) * x)|(2 + (-1x - -1x)) = ((3 - (-1)) * x)|((3 - (-1)) * x) = (2 + (-1x - -1x))|4x = (2 + (-1x - -1x))|(x * 4) = (2 + (-1x - -1x))|((x * 4) / 4) = ((2 + (-1x - -1x)) / 4)|((x * 4) / 4) = ((2 + 0) / 4)|(x * (4 / 4)) = ((2 + 0) / 4)|(x * 1) = ((2 + 0) / 4)|x = ((2 + 0) / 4)|x = (2 / 4)|x = [1/2]",27
27,119,"(-1x + 2) = 3x
","(-1x + 2) = 3x
|((-1x + 2) - -1x) = (3x - -1x)|((-1x + 2) - -1x) = ((3 - (-1)) * x)|((2 + -1x) - -1x) = ((3 - (-1)) * x)|(2 + (-1x - -1x)) = ((3 - (-1)) * x)|((3 - (-1)) * x) = (2 + (-1x - -1x))|4x = (2 + (-1x - -1x))|(x * 4) = (2 + (-1x - -1x))|((x * 4) / 4) = ((2 + (-1x - -1x)) / 4)|((x * 4) / 4) = ((2 + 0) / 4)|(x * (4 / 4)) = ((2 + 0) / 4)|(x * 1) = ((2 + 0) / 4)|x = ((2 + 0) / 4)|x = (2 / 4)|x = [1/2]",27
28,236,"(-1) = -2x
","(-1) = -2x
|-2x = (-1)|(x * (-2)) = (-1)|((x * (-2)) / (-2)) = ((-1) / (-2))|(x * ((-2) / (-2))) = ((-1) / (-2))|(x * 1) = ((-1) / (-2))|x = ((-1) / (-2))|x = [1/2]",12
29,244,"(1 / (-2)) = x
","(1 / (-2)) = x
|x = (1 / (-2))|x = ([-1/2])",4
30,154,"(-1x / (-2)) = (3 / (-4))
","(-1x / (-2)) = (3 / (-4))
|((x * (-1)) / (-2)) = (3 / (-4))|(x * ((-1) / (-2))) = (3 / (-4))|(x * [1/2]) = (3 / (-4))|(x * [1/2]) = ([-3/4])|((x * [1/2]) / [1/2]) = (([-3/4]) / [1/2])|(x * ([1/2] / [1/2])) = (([-3/4]) / [1/2])|(x * 1) = (([-3/4]) / [1/2])|x = (([-3/4]) / [1/2])|x = ([-3/2])",22
31,262,"(1x - 2) = (3x - 4)
","(1x - 2) = (3x - 4)
|((1x - 2) - 1x) = ((3x - 4) - 1x)|((1x - 2) - 1x) = ((3x - 1x) - 4)|((1x - 1x) - 2) = ((3x - 1x) - 4)|((3x - 1x) - 4) = ((1x - 1x) - 2)|((3x - 1x) - 4) = (0 - 2)|(((3 - 1) * x) - 4) = (0 - 2)|(((3 - 1) * x) + (-4)) = (0 - 2)|((((3 - 1) * x) + (-4)) - (-4)) = ((0 - 2) - (-4))|(((3 - 1) * x) + ((-4) - (-4))) = ((0 - 2) - (-4))|(((3 - 1) * x) + ((-4) - (-4))) = ((-2) - (-4))|(((3 - 1) * x) + 0) = ((-2) - (-4))|(2x + 0) = ((-2) - (-4))|2x = ((-2) - (-4))|(2x / 2) = (((-2) - (-4)) / 2)|((x * 2) / 2) = (((-2) - (-4)) / 2)|(x * (2 / 2)) = (((-2) - (-4)) / 2)|(x * 1) = (((-2) - (-4)) / 2)|x = (((-2) - (-4)) / 2)|x = (2 / 2)|x = 1",37
32,49,"(-1x + 2x) = ((-3) + 4)
","(-1x + 2x) = ((-3) + 4)
|(((-1) + 2) * x) = ((-3) + 4)|1x = ((-3) + 4)|1x = 1|x = 1",10
33,108,"(-1x + 2) = ((-3) + -4x)
","(-1x + 2) = ((-3) + -4x)
|((-1x + 2) - 2) = (((-3) + -4x) - 2)|(((-1x + 2) - 2) - -4x) = ((((-3) + -4x) - 2) - -4x)|((-1x + (2 - 2)) - -4x) = ((((-3) + -4x) - 2) - -4x)|((-1x + 0) - -4x) = ((((-3) + -4x) - 2) - -4x)|((-1x + 0) - -4x) = ((((-3) + -4x) - -4x) - 2)|((-1x + 0) - -4x) = (((-3) + (-4x - -4x)) - 2)|((-1x + 0) - -4x) = (((-3) + 0) - 2)|((-1x + 0) - -4x) = ((-3) - 2)|(-1x - -4x) = ((-3) - 2)|(((-1) - (-4)) * x) = ((-3) - 2)|3x = ((-3) - 2)|(x * 3) = ((-3) - 2)|((x * 3) / 3) = (((-3) - 2) / 3)|(x * (3 / 3)) = (((-3) - 2) / 3)|(x * 1) = (((-3) - 2) / 3)|x = (((-3) - 2) / 3)|x = ((-5) / 3)|x = ([-5/3])",34
34,9,"(-1x / x) = -2x
","(-1x / x) = -2x
|((-1x / x) / (-2)) = (-2x / (-2))|((-1x / x) / (-2)) = ((x * (-2)) / (-2))|((x * (-2)) / (-2)) = ((-1x / x) / (-2))|(x * ((-2) / (-2))) = ((-1x / x) / (-2))|(x * 1) = ((-1x / x) / (-2))|x = ((-1x / x) / (-2))|x = (((-1) * (x / x)) / (-2))|x = (((-1) * 1) / (-2))|x = ((-1) / (-2))|x = [1/2]",18
35,30,"(1 / x) = 2
","(1 / x) = 2
|((1 / x) / 2) = (2 / 2)|(((1 / x) / 2) * x) = ((2 / 2) * x)|(((1 / x) / 2) * x) = 1x|(x * ((1 / x) / 2)) = 1x|((x * (1 / x)) / 2) = 1x|(((x * 1) / x) / 2) = 1x|((x / x) / 2) = 1x|1x = ((x / x) / 2)|x = ((x / x) / 2)|x = (1 / 2)|x = [1/2]",28
36,30,"(1 / x) = 2
","(1 / x) = 2
|((1 / x) / 2) = (2 / 2)|(((1 / x) / 2) * x) = ((2 / 2) * x)|(((1 / x) / 2) * x) = 1x|(x * ((1 / x) / 2)) = 1x|((x * (1 / x)) / 2) = 1x|(((x * 1) / x) / 2) = 1x|((x / x) / 2) = 1x|1x = ((x / x) / 2)|x = ((x / x) / 2)|x = (1 / 2)|x = [1/2]",28
37,266,"(1x + (-2)) = 3
","(1x + (-2)) = 3
|((1x + (-2)) - (-2)) = (3 - (-2))|(1x + ((-2) - (-2))) = (3 - (-2))|(1x + 0) = (3 - (-2))|(1x + 0) = 5|1x = 5|x = 5",11
38,243,"(1x + 2) = (3 + -4x)
","(1x + 2) = (3 + -4x)
|((1x + 2) - 2) = ((3 + -4x) - 2)|(((1x + 2) - 2) - -4x) = (((3 + -4x) - 2) - -4x)|((1x + (2 - 2)) - -4x) = (((3 + -4x) - 2) - -4x)|((1x + 0) - -4x) = (((3 + -4x) - 2) - -4x)|((1x + 0) - -4x) = (((-4x + 3) - 2) - -4x)|((1x + 0) - -4x) = ((-4x + (3 - 2)) - -4x)|((1x + 0) - -4x) = (((3 - 2) + -4x) - -4x)|((1x + 0) - -4x) = ((3 - 2) + (-4x - -4x))|((1x + 0) - -4x) = ((3 - 2) + 0)|((1x + 0) - -4x) = (3 - 2)|(1x - -4x) = (3 - 2)|((1 - (-4)) * x) = (3 - 2)|5x = (3 - 2)|(x * 5) = (3 - 2)|(x * 5) = 1|((x * 5) / 5) = (1 / 5)|(x * (5 / 5)) = (1 / 5)|(x * 1) = (1 / 5)|x = (1 / 5)|x = [1/5]",38
39,243,"(1x + 2) = (3 + -4x)
","(1x + 2) = (3 + -4x)
|((1x + 2) - 2) = ((3 + -4x) - 2)|(((1x + 2) - 2) - -4x) = (((3 + -4x) - 2) - -4x)|((1x + (2 - 2)) - -4x) = (((3 + -4x) - 2) - -4x)|((1x + 0) - -4x) = (((3 + -4x) - 2) - -4x)|((1x + 0) - -4x) = (((-4x + 3) - 2) - -4x)|((1x + 0) - -4x) = ((-4x + (3 - 2)) - -4x)|((1x + 0) - -4x) = (((3 - 2) + -4x) - -4x)|((1x + 0) - -4x) = ((3 - 2) + (-4x - -4x))|((1x + 0) - -4x) = ((3 - 2) + 0)|((1x + 0) - -4x) = (3 - 2)|(1x - -4x) = (3 - 2)|((1 - (-4)) * x) = (3 - 2)|5x = (3 - 2)|(x * 5) = (3 - 2)|(x * 5) = 1|((x * 5) / 5) = (1 / 5)|(x * (5 / 5)) = (1 / 5)|(x * 1) = (1 / 5)|x = (1 / 5)|x = [1/5]",38
40,3,"(-1x + (-2)) = (-3x + (-4))
","(-1x + (-2)) = (-3x + (-4))
|((-1x + (-2)) - (-2)) = ((-3x + (-4)) - (-2))|(-1x + ((-2) - (-2))) = ((-3x + (-4)) - (-2))|(-1x + ((-2) - (-2))) = (((-4) + -3x) - (-2))|(-1x + 0) = (((-4) + -3x) - (-2))|((-1x + 0) - -3x) = ((((-4) + -3x) - (-2)) - -3x)|((-1x + 0) - -3x) = ((((-4) + -3x) - -3x) - (-2))|((-1x + 0) - -3x) = (((-4) + (-3x - -3x)) - (-2))|((-1x + 0) - -3x) = (((-4) + 0) - (-2))|((-1x + 0) - -3x) = ((-4) - (-2))|(-1x - -3x) = ((-4) - (-2))|(((-1) - (-3)) * x) = ((-4) - (-2))|2x = ((-4) - (-2))|(x * 2) = ((-4) - (-2))|((x * 2) / 2) = (((-4) - (-2)) / 2)|(x * (2 / 2)) = (((-4) - (-2)) / 2)|(x * 1) = (((-4) - (-2)) / 2)|x = (((-4) - (-2)) / 2)|x = ((-2) / 2)|x = (-1)",36
41,125,"(-1) = ((2 / x) + (-3))
","(-1) = ((2 / x) + (-3))
|((-1) - (-3)) = (((2 / x) + (-3)) - (-3))|2 = (((2 / x) + (-3)) - (-3))|(2 / 2) = ((((2 / x) + (-3)) - (-3)) / 2)|((2 / 2) * x) = (((((2 / x) + (-3)) - (-3)) / 2) * x)|1x = (((((2 / x) + (-3)) - (-3)) / 2) * x)|x = (((((2 / x) + (-3)) - (-3)) / 2) * x)|x = ((((2 / x) + ((-3) - (-3))) / 2) * x)|x = ((((2 / x) + 0) / 2) * x)|x = (((2 / x) / 2) * x)|x = (x * ((2 / x) / 2))|x = ((x * (2 / x)) / 2)|x = (((x * 2) / x) / 2)|x = ((2x / x) / 2)|x = ((2 * (x / x)) / 2)|x = ((2 * 1) / 2)|x = (2 / 2)|x = 1",38
42,44,"((-1) + 2x) = (-3x + (-4))
","((-1) + 2x) = (-3x + (-4))
|(((-1) + 2x) - (-4)) = ((-3x + (-4)) - (-4))|((-3x + (-4)) - (-4)) = (((-1) + 2x) - (-4))|(-3x + ((-4) - (-4))) = (((-1) + 2x) - (-4))|(-3x + 0) = (((-1) + 2x) - (-4))|((-3x + 0) - 2x) = ((((-1) + 2x) - (-4)) - 2x)|((-3x + 0) - 2x) = ((((-1) + 2x) - 2x) - (-4))|((-3x + 0) - 2x) = (((-1) + (2x - 2x)) - (-4))|((-3x + 0) - 2x) = (((-1) + 0) - (-4))|((-3x + 0) - 2x) = ((-1) - (-4))|(-3x - 2x) = ((-1) - (-4))|(((-3) - 2) * x) = ((-1) - (-4))|-5x = ((-1) - (-4))|(x * (-5)) = ((-1) - (-4))|(x * (-5)) = 3|((x * (-5)) / (-5)) = (3 / (-5))|(x * ((-5) / (-5))) = (3 / (-5))|(x * 1) = (3 / (-5))|x = (3 / (-5))|x = ([-3/5])",35
43,256,"(1 / x) = (-2)
","(1 / x) = (-2)
|((1 / x) / (-2)) = ((-2) / (-2))|(((1 / x) / (-2)) * x) = (((-2) / (-2)) * x)|(((1 / x) / (-2)) * x) = 1x|(x * ((1 / x) / (-2))) = 1x|((x * (1 / x)) / (-2)) = 1x|(((x * 1) / x) / (-2)) = 1x|(((x * 1) / x) / (-2)) = x|x = (((x * 1) / x) / (-2))|x = ((x / x) / (-2))|x = (1 / (-2))|x = ([-1/2])",30
44,105,"1x = 2
","1x = 2
|x = 2",2
