,Equation Number,eqn,soln,metrics
36,3,"(-1x + (-2)) = (-3x + (-4))
","(-1x + (-2)) = (-3x + (-4))
|((-1x + (-2)) - (-2)) = ((-3x + (-4)) - (-2))|-1x = ((-3x + (-4)) - (-2))|-1x = (-3x + ((-4) - (-2)))|2x = (((-4) - (-2)) + 0)|2x = (-2)|x = (-1)",14
37,129,"1 = (2x - 3x)
","1 = (2x - 3x)
|1 = ((2 - 3) * x)|((2 - 3) * x) = 1|-1x = 1|x = (-1)",12
38,41,"(1 + 2x) = (3x + 4)
","(1 + 2x) = (3x + 4)
|(2x + 1) = (3x + 4)|((2x + 1) - 1) = ((3x + 4) - 1)|2x = ((3x + 4) - 1)|2x = (3x + (4 - 1))|-1x = ((4 - 1) + 0)|-1x = 3|x = (-3)",15
39,156,"(1 + 2x) = ((-3) + 4x)
","(1 + 2x) = ((-3) + 4x)
|(2x + 1) = ((-3) + 4x)|(2x + 1) = (4x + (-3))|((2x + 1) - 1) = ((4x + (-3)) - 1)|2x = ((4x + (-3)) - 1)|2x = (4x + ((-3) - 1))|-2x = (((-3) - 1) + 0)|-2x = (-4)|x = 2",16
40,262,"(1x - 2) = (3x - 4)
","(1x - 2) = (3x - 4)
|(1x + (-2)) = (3x - 4)|((1x + (-2)) - (-2)) = ((3x - 4) - (-2))|1x = ((3x - 4) - (-2))|1x = ((3x + (-4)) - (-2))|1x = (3x + ((-4) - (-2)))|-2x = (((-4) - (-2)) + 0)|-2x = (-2)|x = 1",16
41,108,"(-1x + 2) = ((-3) + -4x)
","(-1x + 2) = ((-3) + -4x)
|((-1x + 2) - 2) = (((-3) + -4x) - 2)|((-1x + 2) - 2) = ((-4x + (-3)) - 2)|-1x = ((-4x + (-3)) - 2)|-1x = (-4x + ((-3) - 2))|3x = (((-3) - 2) + 0)|3x = (-5)|x = ([-5/3])",16
42,103,"((-1) - 2) = (3x - 4x)
","((-1) - 2) = (3x - 4x)
|((-1) - 2) = ((3 - 4) * x)|((3 - 4) * x) = ((-1) - 2)|-1x = ((-1) - 2)|-1x = (-3)|x = 3",12
43,259,"(-1x - 2) = 3x
","(-1x - 2) = 3x
|3x = (-1x - 2)|3x = (-1x + (-2))|4x = ((-2) + 0)|4x = (-2)|x = ([-1/2])",9
44,252,"(1x + (-2)) = (3x + 4)
","(1x + (-2)) = (3x + 4)
|((1x + (-2)) - (-2)) = ((3x + 4) - (-2))|1x = ((3x + 4) - (-2))|1x = (3x + (4 - (-2)))|-2x = ((4 - (-2)) + 0)|-2x = 6|x = (-3)",14
45,188,"((-1) + -2x) = ((-3) + 4x)
","((-1) + -2x) = ((-3) + 4x)
|(-2x + (-1)) = ((-3) + 4x)|((-2x + (-1)) - (-1)) = (((-3) + 4x) - (-1))|((-2x + (-1)) - (-1)) = ((4x + (-3)) - (-1))|-2x = ((4x + (-3)) - (-1))|-2x = (4x + ((-3) - (-1)))|-6x = (((-3) - (-1)) + 0)|-6x = (-2)|x = [1/3]",17
46,245,"(-1x + 2) = (-3x + (-4))
","(-1x + 2) = (-3x + (-4))
|((-1x + 2) - 2) = ((-3x + (-4)) - 2)|-1x = ((-3x + (-4)) - 2)|-1x = (-3x + ((-4) - 2))|2x = (((-4) - 2) + 0)|2x = (-6)|x = (-3)",14
47,234,"(-1) = (((-2) - 3x) + 4x)
","(-1) = (((-2) - 3x) + 4x)
|((-1) - (-2)) = ((((-2) - 3x) + 4x) - (-2))|((-1) - (-2)) = ((((-2) + -3x) + 4x) - (-2))|1 = ((((-2) + -3x) + 4x) - (-2))|1 = ((4x + ((-2) + -3x)) - (-2))|1 = ((4x + (-3x + (-2))) - (-2))|1 = (((4x + -3x) + (-2)) - (-2))|1 = (4x + -3x)|1 = ((4 + (-3)) * x)|((4 + (-3)) * x) = 1|1x = 1|x = 1",26
48,142,"((-1x + 2) - 3x) = (((-4) + 5x) - 6x)
","((-1x + 2) - 3x) = (((-4) + 5x) - 6x)
|((-1x + 2) - 3x) = ((5x + (-4)) - 6x)|((-1x + 2) + -3x) = ((5x + (-4)) - 6x)|(-3x + (-1x + 2)) = ((5x + (-4)) - 6x)|((-3x + -1x) + 2) = ((5x + (-4)) - 6x)|((5x + (-4)) - 6x) = ((-3x + -1x) + 2)|((5x + (-4)) + -6x) = ((-3x + -1x) + 2)|(5x + ((-4) + -6x)) = ((-3x + -1x) + 2)|(5x + (-6x + (-4))) = ((-3x + -1x) + 2)|((5x + (-6x + (-4))) - (-4)) = (((-3x + -1x) + 2) - (-4))|(5x + ((-6x + (-4)) - (-4))) = (((-3x + -1x) + 2) - (-4))|(5x + -6x) = (((-3x + -1x) + 2) - (-4))|((5 + (-6)) * x) = (((-3x + -1x) + 2) - (-4))|-1x = (((-3x + -1x) + 2) - (-4))|-1x = (((((-3) + (-1)) * x) + 2) - (-4))|-1x = ((-4x + 2) - (-4))|-1x = (-4x + (2 - (-4)))|3x = ((2 - (-4)) + 0)|3x = 6|x = 2",36
49,56,"((-1) + -2x) = (3 + -4x)
","((-1) + -2x) = (3 + -4x)
|((-1) + -2x) = (-4x + 3)|(-2x + (-1)) = (-4x + 3)|((-2x + (-1)) - (-1)) = ((-4x + 3) - (-1))|-2x = ((-4x + 3) - (-1))|-2x = (-4x + (3 - (-1)))|2x = ((3 - (-1)) + 0)|2x = 4|x = 2",16
50,76,"((-1) - 2x) = (-3)
","((-1) - 2x) = (-3)
|((-1) + -2x) = (-3)|-2x = (-2)|x = 1",5
51,187,"1x = (2 - 3)
","1x = (2 - 3)
|1x = (-1)|x = (-1)",4
52,93,"(1x - -2x) = (-3)
","(1x - -2x) = (-3)
|((1 - (-2)) * x) = (-3)|3x = (-3)|x = (-1)",8
53,242,"1x = (-2x + 3)
","1x = (-2x + 3)
|3x = (3 + 0)|3x = 3|x = 1",5
54,5,"(1x - 2) = -3x
","(1x - 2) = -3x
|-3x = (1x - 2)|-3x = (1x + (-2))|-4x = ((-2) + 0)|-4x = (-2)|x = [1/2]",9
55,177,"(1x / x) = 2x
","(1x / x) = 2x
|((1x / x) * 1) = (2x * 1)|((1x / x) * 1) = (1 * 2x)|(1x / x) = (1 * 2x)|(x / x) = (1 * 2x)|1 = (1 * 2x)|(1 * 2x) = 1|2x = 1|x = [1/2]",15
56,253,"-1x = 2
","-1x = 2
|x = (-2)",2
57,240,"((1 + 2x) + 3x) = 4
","((1 + 2x) + 3x) = 4
|(3x + (1 + 2x)) = 4|(3x + (2x + 1)) = 4|4 = (3x + (2x + 1))|4 = ((3x + 2x) + 1)|4 = (((3 + 2) * x) + 1)|4 = (5x + 1)|(5x + 1) = 4|5x = 3|x = [3/5]",20
58,0,"(1 / 2) = x
","(1 / 2) = x
|x = (1 / 2)|x = [1/2]",4
59,279,"1x = ((2x - 3) - 4)
","1x = ((2x - 3) - 4)
|1x = ((2x + (-3)) - 4)|1x = (2x + ((-3) - 4))|-1x = (((-3) - 4) + 0)|-1x = (-7)|x = 7",9
60,207,"(-1) = (-2x - 3)
","(-1) = (-2x - 3)
|(-1) = (-2x + (-3))|(-2x + (-3)) = (-1)|-2x = 2|x = (-1)",7
61,82,"(-1) = x
","(-1) = x
|x = (-1)",2
62,162,"(1x + (-2)) = (3x + (-4))
","(1x + (-2)) = (3x + (-4))
|((1x + (-2)) - (-2)) = ((3x + (-4)) - (-2))|1x = ((3x + (-4)) - (-2))|1x = (3x + ((-4) - (-2)))|-2x = (((-4) - (-2)) + 0)|-2x = (-2)|x = 1",14
63,251,"((-1) + 2x) = (3 + -4x)
","((-1) + 2x) = (3 + -4x)
|(2x + (-1)) = (3 + -4x)|(2x + (-1)) = (-4x + 3)|((2x + (-1)) - (-1)) = ((-4x + 3) - (-1))|2x = ((-4x + 3) - (-1))|2x = (-4x + (3 - (-1)))|6x = ((3 - (-1)) + 0)|6x = 4|x = [2/3]",17
64,141,"(((-1) - 2x) + 3) = -4x
","(((-1) - 2x) + 3) = -4x
|-4x = (((-1) - 2x) + 3)|-4x = (((-1) + -2x) + 3)|-4x = ((-2x + (-1)) + 3)|-4x = (-2x + ((-1) + 3))|-2x = (((-1) + 3) + 0)|-2x = 2|x = (-1)",14
65,25,"(1 + -2x) = (-3x + (-4))
","(1 + -2x) = (-3x + (-4))
|(-2x + 1) = (-3x + (-4))|((-2x + 1) - 1) = ((-3x + (-4)) - 1)|-2x = ((-3x + (-4)) - 1)|-2x = (-3x + ((-4) - 1))|1x = (((-4) - 1) + 0)|1x = (-5)|x = (-5)",15
66,175,"(1 + 2x) = -3x
","(1 + 2x) = -3x
|-3x = (1 + 2x)|-3x = (2x + 1)|-5x = (1 + 0)|-5x = 1|x = ([-1/5])",9
67,53,"1 = -2x
","1 = -2x
|-2x = 1|x = ([-1/2])",4
68,110,"((-1) + -2x) = (3 + 4x)
","((-1) + -2x) = (3 + 4x)
|(-2x + (-1)) = (3 + 4x)|(-2x + (-1)) = (4x + 3)|((-2x + (-1)) - (-1)) = ((4x + 3) - (-1))|-2x = ((4x + 3) - (-1))|-2x = (4x + (3 - (-1)))|-6x = ((3 - (-1)) + 0)|-6x = 4|x = ([-2/3])",17
69,31,"((-1) + -2x) = (-3x + (-4))
","((-1) + -2x) = (-3x + (-4))
|(-2x + (-1)) = (-3x + (-4))|((-2x + (-1)) - (-1)) = ((-3x + (-4)) - (-1))|-2x = ((-3x + (-4)) - (-1))|-2x = (-3x + ((-4) - (-1)))|1x = (((-4) - (-1)) + 0)|1x = (-3)|x = (-3)",15
70,63,"1x = (2x + 3)
","1x = (2x + 3)
|-1x = (3 + 0)|-1x = 3|x = (-3)",5
71,182,"(1 + -2x) = (3x + 4)
","(1 + -2x) = (3x + 4)
|(-2x + 1) = (3x + 4)|((-2x + 1) - 1) = ((3x + 4) - 1)|-2x = ((3x + 4) - 1)|-2x = (3x + (4 - 1))|-5x = ((4 - 1) + 0)|-5x = 3|x = ([-3/5])",16
72,27,"((-1) + (2 / x)) = 3
","((-1) + (2 / x)) = 3
|(2 / x) = 4|((2 / x) * 2) = (4 * 2)|(2 * (2 / x)) = (4 * 2)|(2 * (2 / x)) = 8|((2 * 2) / x) = 8|(4 / x) = 8|((4 / x) * 8) = (8 * 8)|(8 * (4 / x)) = (8 * 8)|((8 * 4) / x) = (8 * 8)|((4 * 8) / x) = (8 * 8)|(8 * 8) = ((4 * 8) / x)|(8 * 8) = (4 * (8 / x))|((8 * 8) * x) = ((4 * (8 / x)) * x)|((8 * 8) * x) = (x * (4 * (8 / x)))|((8 * 8) * x) = (x * ((4 * 8) / x))|((8 * 8) * x) = (x * ((8 * 4) / x))|((8 * 8) * x) = (x * (8 * (4 / x)))|((8 * 8) * x) = ((x * 8) * (4 / x))|((8 * 8) * x) = (8x * (4 / x))|((8 * 8) * x) = ((8x * 4) / x)|((8 * 8) * x) = ((4 * 8x) / x)|((8 * 8) * x) = (4 * (8x / x))|((8 * 8) * x) = (4 * (8 * (x / x)))|((8 * 8) * x) = (4 * (8 * 1))|64x = (4 * (8 * 1))|64x = (4 * 8)|64x = 32|x = [1/2]",49
73,128,"(-1x + 2) = (3 + 4x)
","(-1x + 2) = (3 + 4x)
|(-1x + 2) = (4x + 3)|((-1x + 2) - 2) = ((4x + 3) - 2)|-1x = ((4x + 3) - 2)|-1x = (4x + (3 - 2))|-5x = ((3 - 2) + 0)|-5x = 1|x = ([-1/5])",16
74,70,"(-1x - 2) = (3 + 4x)
","(-1x - 2) = (3 + 4x)
|(-1x + (-2)) = (3 + 4x)|(-1x + (-2)) = (4x + 3)|(4x + 3) = (-1x + (-2))|((4x + 3) - 3) = ((-1x + (-2)) - 3)|4x = ((-1x + (-2)) - 3)|4x = (-1x + ((-2) - 3))|5x = (((-2) - 3) + 0)|5x = (-5)|x = (-1)",17
75,254,"(-1x + (-2)) = (-3x + 4)
","(-1x + (-2)) = (-3x + 4)
|((-1x + (-2)) - (-2)) = ((-3x + 4) - (-2))|-1x = ((-3x + 4) - (-2))|-1x = (-3x + (4 - (-2)))|2x = ((4 - (-2)) + 0)|2x = 6|x = 3",14
76,120,"1 = (2 + 3x)
","1 = (2 + 3x)
|1 = (3x + 2)|(3x + 2) = 1|3x = (-1)|x = ([-1/3])",8
77,196,"-1x = (2 - 3)
","-1x = (2 - 3)
|-1x = (-1)|x = 1",4
78,170,"1 = (-2x + 3)
","1 = (-2x + 3)
|(-2x + 3) = 1|-2x = (-2)|x = 1",6
79,55,"-1x = (-2)
","-1x = (-2)
|x = 2",2
80,51,"((-1) - 2x) = (3 - 4x)
","((-1) - 2x) = (3 - 4x)
|((-1) - 2x) = (3 + -4x)|((-1) + -2x) = (3 + -4x)|((-1) + -2x) = (-4x + 3)|(-2x + (-1)) = (-4x + 3)|((-2x + (-1)) - (-1)) = ((-4x + 3) - (-1))|-2x = ((-4x + 3) - (-1))|-2x = (-4x + (3 - (-1)))|2x = ((3 - (-1)) + 0)|2x = 4|x = 2",18
81,118,"-1x = ((-2) + x)
","-1x = ((-2) + x)
|-1x = (x + (-2))|(x + (-2)) = -1x|((x + (-2)) - (-2)) = (-1x - (-2))|x = (-1x - (-2))|x = (-1x + 2)|(x * 2) = ((-1x + 2) * 2)|(x * 2) = ((-1x * 2) + (2 * 2))|2x = ((-1x * 2) + (2 * 2))|2x = ((2 * -1x) + (2 * 2))|2x = (((2 * (-1)) * x) + (2 * 2))|2x = (-2x + (2 * 2))|4x = ((2 * 2) + 0)|4x = 4|x = 1",30
